title,year,rating,rating_count,genre
The Irishman ,2019,7.9,"294,934","Biography,Crime,Drama,27 November 2019 (USA)
"
Mad Max: Fury Road ,2015,8.1,"845,667","Action,Adventure,Sci-Fi,15 May 2015 (USA)
"
Call Me by Your Name ,2017,7.9,"193,821","Drama,Romance,19 January 2018 (USA)
"
A Beautiful Day in the Neighborhood ,2019,7.3,"44,291","Biography,Drama,22 November 2019 (USA)
"
Black Panther ,2018,7.3,"585,077","Action,Adventure,Sci-Fi,16 February 2018 (USA)
"
The Dark Knight ,2008,9.0,"2,219,910","Action,Crime,Drama,18 July 2008 (USA)
"
Ready Player One ,2018,7.5,"346,399","Action,Adventure,Sci-Fi,29 March 2018 (USA)
"
Interstellar ,2014,8.6,"1,425,862","Adventure,Drama,Sci-Fi,7 November 2014 (USA)
"
Marriage Story ,2019,8.0,"217,334","Comedy,Drama,Romance,6 December 2019 (USA)
"
The Lord of the Rings: The Fellowship of the Ring ,2001,8.8,"1,604,881","Action,Adventure,Drama,19 December 2001 (USA)
"
Harry Potter and the Sorcerer's Stone ,2001,7.6,"616,893","Adventure,Family,Fantasy,16 November 2001 (USA)
"
Little Women ,2019,7.9,"110,451","Drama,Romance,25 December 2019 (USA)
"
Baby Driver ,2017,7.6,"413,975","Action,Crime,Drama,28 June 2017 (USA)
"
Star Wars: Episode I - The Phantom Menace ,1999,6.5,"707,693","Action,Adventure,Fantasy,19 May 1999 (USA)
"
Harry Potter and the Prisoner of Azkaban ,2004,7.9,"527,055","Adventure,Family,Fantasy,4 June 2004 (USA)
"
Charlie and the Chocolate Factory ,2005,6.6,"412,637","Adventure,Comedy,Family,15 July 2005 (USA)
"
The Usual Suspects ,1995,8.5,"959,758","Crime,Mystery,Thriller,16 August 1995 (USA)
"
American History X ,1998,8.5,"1,005,534","Drama,20 November 1998 (USA)
"
Rogue One: A Star Wars Story ,2016,7.8,"532,995","Action,Adventure,Sci-Fi,16 December 2016 (USA)
"
Batman Begins ,2005,8.2,"1,266,420","Action,Adventure,15 June 2005 (USA)
"
The Social Network ,2010,7.7,"602,666","Biography,Drama,1 October 2010 (USA)
"
Requiem for a Dream ,2000,8.3,"741,760","Drama,15 December 2000 (USA)
"
Richard Jewell ,2019,7.5,"41,646","Biography,Crime,Drama,13 December 2019 (USA)
"
Star Wars: Episode VII - The Force Awakens ,2015,7.9,"839,993","Action,Adventure,Sci-Fi,18 December 2015 (USA)
"
Bohemian Rhapsody ,2018,8.0,"426,645","Biography,Drama,Music,2 November 2018 (USA)
"
Toy Story 4 ,2019,7.8,"182,599","Animation,Adventure,Comedy,21 June 2019 (USA)
"
Misery ,1990,7.8,"177,083","Drama,Thriller,30 November 1990 (USA)
"
The Mummy ,1999,7.0,"381,639","Action,Adventure,Fantasy,7 May 1999 (USA)
"
The Great Gatsby ,2013,7.2,"461,851","Drama,Romance,10 May 2013 (USA)
"
Les Misérables ,2012,7.6,"300,364","Drama,History,Musical,25 December 2012 (USA)
"
Transformers ,2007,7.0,"586,204","Action,Adventure,Sci-Fi,3 July 2007 (USA)
"
The Martian ,2015,8.0,"733,085","Adventure,Drama,Sci-Fi,2 October 2015 (USA)
"
Molly's Game ,2017,7.4,"130,033","Biography,Crime,Drama,5 January 2018 (USA)
"
Ex Machina ,2014,7.7,"456,959","Drama,Mystery,Sci-Fi,24 April 2015 (USA)
"
